timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585219154747,844,http://loxodo.tech/api/v2/reports/outbound/shipments?tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&from_Date=03/22/2020&to_Date=03/28/2020,200,OK,Thread Group 1-4,text,true,,537,772,2,2,http://loxodo.tech/api/v2/reports/outbound/shipments?to_Date=03%2F28%2F2020&from_Date=03%2F22%2F2020&tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0,844,0,278
1585219153123,2639,http://loxodo.tech/api/v2/reports/task?tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&from_Date=03/22/2020&to_Date=03/28/2020,200,OK,Thread Group 1-3,text,true,,1551,758,2,2,http://loxodo.tech/api/v2/reports/task?to_Date=03%2F28%2F2020&from_Date=03%2F22%2F2020&tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2639,0,280
1585219155764,1305,http://loxodo.tech/api/v2/reports/task/daily-completion?tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&from_Date=03/22/2020&to_Date=03/28/2020,200,OK,Thread Group 1-3,text,true,,491,775,2,2,http://loxodo.tech/api/v2/reports/task/daily-completion?to_Date=03%2F28%2F2020&from_Date=03%2F22%2F2020&tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1305,0,277
1585219155593,1942,http://loxodo.tech/api/tenants?company_id=254&status=active,200,OK,Thread Group 1-4,text,true,,1620,670,2,2,http://loxodo.tech/api/tenants?company_id=254&status=active,1942,0,0
1585219143412,14109,Test,200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-4,,true,,13367,6891,2,2,null,12770,16,3599
1585219157071,811,http://loxodo.tech/api/v2/reports/task/user-performance?tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&from_Date=03/22/2020&to_Date=03/28/2020,200,OK,Thread Group 1-3,text,true,,1115,775,1,1,http://loxodo.tech/api/v2/reports/task/user-performance?to_Date=03%2F28%2F2020&from_Date=03%2F22%2F2020&tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0,811,0,0
1585219157883,847,http://loxodo.tech/api/v2/reports/outbound/shipments?tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0&from_Date=03/22/2020&to_Date=03/28/2020,200,OK,Thread Group 1-3,text,true,,537,772,1,1,http://loxodo.tech/api/v2/reports/outbound/shipments?to_Date=03%2F28%2F2020&from_Date=03%2F22%2F2020&tenant=TC5&warehouse_ID=aa419789-d3f8-44ca-b7bb-393dfb6834a0,846,0,291
1585219158730,346,http://loxodo.tech/api/tenants?company_id=254&status=active,200,OK,Thread Group 1-3,text,true,,1620,670,1,1,http://loxodo.tech/api/tenants?company_id=254&status=active,346,0,0
1585219143163,15902,Test,200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-3,,true,,13367,6891,1,1,null,15900,13,8027
1586241084443,1082,http://loxodo.tech/oauth/token,200,OK,Thread Group 1-1,text,true,,1158,431,4,4,http://loxodo.tech/oauth/token,1082,0,273
